id,city,state,yob
AAA-03321706-1-866834-I1,Charlotte,North Carolina,8
AAB-04923282-m-405308-yW,Nashville,Tennessee,11
AAB-23102945-b-065985-xp,Salem,Oregon,7
AAB-64454903-y-396859-bx,Littleton,Colorado,2
AAB-68191584-X-296651-JM,Fresno,California,4
AAD-09890763-W-615200-jL,Las Vegas,Nevada,5
AAD-20872250-D-453978-fM,Anaheim,California,6
AAD-28507074-R-562834-Xd,Pasadena,California,8
AAD-37751026-T-355348-zV,Vero Beach,Florida,0
AAD-91253539-C-305338-wj,Paterson,New Jersey,6
AAE-05965563-S-424746-4p,Pasadena,California,12
AAE-20338259-S-732755-mJ,Arlington,Virginia,13
AAE-56555470-4-160195-FX,Amarillo,Texas,10
AAE-68788374-t-102355-kw,Bradenton,Florida,11
AAF-12965416-Y-392290-yT,Philadelphia,Pennsylvania,5
AAF-25933263-r-676313-sd,Phoenix,Arizona,4
AAF-97589540-z-453138-Ca,Tuscaloosa,Alabama,4
AAG-74209063-w-486645-1T,Louisville,Kentucky,11
AAH-00792945-3-552123-Hn,New York City,New York,5
AAH-47182806-V-056613-mt,Montgomery,Alabama,2
AAI-76624824-D-681890-o9,Flint,Michigan,13
AAJ-31393249-T-371030-7M,Oklahoma City,Oklahoma,2
AAK-01722446-R-008487-pL,Albany,New York,11
AAK-54246932-l-947676-dt,Fairfax,Virginia,4
AAK-72648595-0-716329-0q,Brockton,Massachusetts,2
AAK-89591840-T-157623-lt,Los Angeles,California,10
AAM-07091179-K-410299-9Y,Lexington,Kentucky,11
AAM-13006642-0-551960-P9,Gulfport,Mississippi,2
AAM-16476750-f-900342-c6,Tulsa,Oklahoma,1
AAM-24463809-s-463609-8c,Lancaster,Pennsylvania,5
AAM-28160436-9-466005-Ps,Paterson,New Jersey,7
AAM-67344603-W-581538-qn,Clearwater,Florida,0
AAM-76650529-r-620062-qG,Washington,District of Columbia,5
AAN-17425474-f-089955-Zl,Manchester,New Hampshire,5
AAN-30992273-B-455433-S1,Lynn,Massachusetts,12
AAN-35255668-Y-786676-GG,Boston,Massachusetts,12
AAO-79477258-4-901603-hL,Pittsburgh,Pennsylvania,4
AAO-97925279-N-959600-iS,Durham,North Carolina,6
AAP-26862170-4-279567-Js,Garden Grove,California,13
AAP-56121141-e-659041-kE,Kansas City,Missouri,11
AAP-75864646-Q-577760-40,Denver,Colorado,3
AAP-87210556-N-600322-Ez,Atlanta,Georgia,10
AAR-06190528-r-994754-PN,Charlotte,North Carolina,3
AAR-18900466-z-593408-9Q,Washington,District of Columbia,6
AAR-72355759-x-505886-4w,Montgomery,Alabama,1
